City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,libreville,0.3925,9.4537,29.01,79,20,5.14,GA,1728577943
1,la cruz,23.9167,-106.9,30.92,67,60,2.4,MX,1728577945
2,tazovsky,67.4667,78.7,-2.11,88,94,8.48,RU,1728577901
3,uusikaupunki,60.8004,21.4084,13.2,94,100,9.42,FI,1728577947
4,novodvinsk,64.4165,40.8122,1.86,96,100,6.25,RU,1728577948
5,karagandy,49.8019,73.1021,13.97,33,100,3.73,KZ,1728577949
6,pacocha,-17.5833,-71.3333,18.08,77,100,6.69,PE,1728577950
7,bijie,27.3125,105.2942,11.64,95,100,0.77,CN,1728577951
8,puerto natales,-51.7236,-72.4875,9.25,53,40,10.29,CL,1728577871
9,newman,37.3138,-121.0208,22.81,50,89,0.97,US,1728577954
10,longyearbyen,78.2186,15.6401,3.91,75,75,10.8,SJ,1728577955
11,mossel bay,-34.1831,22.146,16.96,75,99,3.6,ZA,1728577956
12,saudarkrokur,65.7461,-19.6394,0.78,91,79,7.35,IS,1728577957
13,juye,35.3947,116.0883,14.65,34,0,2.01,CN,1728577958
14,adamstown,-25.066,-130.1015,20.86,86,100,7.45,PN,1728577959
15,selkirk,50.1436,-96.8845,21.84,25,100,2.5,CA,1728577960
16,noumea,-22.2763,166.4572,20.11,84,52,3.87,NC,1728577961
17,tanda,26.55,82.65,26.06,59,97,2.29,IN,1728577962
18,gay,51.4666,58.4552,4.97,70,100,10.16,RU,1728577963
19,port lincoln,-34.7333,135.8667,11.75,70,100,5.4,AU,1728577965
20,zouerate,22.7187,-12.4521,37.15,19,6,2.48,MR,1728577966
21,hawaiian paradise park,19.5933,-154.9731,22.72,94,100,0.0,US,1728577967
22,grytviken,-54.2811,-36.5092,-0.43,93,68,1.08,GS,1728577968
23,bilibino,68.0546,166.4372,-15.62,97,56,1.73,RU,1728577969
24,antsiranana,-12.2787,49.2917,24.43,71,10,9.0,MG,1728577970
25,ushuaia,-54.8,-68.3,6.81,65,40,10.8,AR,1728577675
26,saint-francois,46.4154,3.9054,14.69,77,71,3.6,FR,1728577973
27,kudymkar,59.0173,54.656,-2.82,69,1,3.35,RU,1728577874
28,wanning,18.8003,110.3967,24.1,92,42,2.53,CN,1728577976
29,castillos,-34.1667,-53.8333,18.53,73,92,5.38,UY,1728577977
30,port-aux-francais,-49.35,70.2167,2.29,87,100,14.41,TF,1728577978
31,ribeira grande,38.5167,-28.7,23.76,73,75,12.35,PT,1728577979
32,lockwood,45.8191,-108.4149,14.94,44,40,2.57,US,1728577980
33,ingersoll,43.0334,-80.883,12.12,62,3,3.48,CA,1728577981
34,khandyga,62.6667,135.6,-0.65,76,100,2.86,RU,1728577982
35,laguna,38.421,-121.4238,21.8,67,0,2.57,US,1728577983
36,stanley,54.868,-1.6985,8.62,61,20,3.6,GB,1728577694
37,edinburgh of the seven seas,-37.0676,-12.3116,12.61,74,83,14.57,SH,1728577985
38,bredasdorp,-34.5322,20.0403,15.6,67,100,4.98,ZA,1728577987
39,thompson,55.7435,-97.8558,8.09,87,75,3.6,CA,1728577988
40,katsuura,35.1333,140.3,17.29,84,55,5.99,JP,1728577989
41,papatowai,-46.5619,169.4708,5.95,86,13,2.48,NZ,1728577990
42,utrik,11.2278,169.8474,27.94,79,97,4.83,MH,1728577991
43,margaret river,-33.95,115.0667,13.48,59,22,4.51,AU,1728577992
44,opuwo,-18.0607,13.84,32.2,9,9,4.11,NA,1728577993
45,macapa,0.0389,-51.0664,33.99,59,20,3.6,BR,1728577953
46,qaqortoq,60.7167,-46.0333,3.2,80,20,5.41,GL,1728577995
47,thunder bay,48.4001,-89.3168,15.95,55,100,3.6,CA,1728577996
48,new norfolk,-42.7826,147.0587,11.07,68,71,3.98,AU,1728577953
49,whitehorse,60.7161,-135.0538,1.56,89,100,5.66,CA,1728577806
50,carnarvon,-24.8667,113.6333,22.93,67,0,3.2,AU,1728578000
51,bethel,41.3712,-73.414,14.77,55,20,5.14,US,1728577951
52,iqaluit,63.7506,-68.5145,2.85,69,40,2.06,CA,1728577812
53,aleksandrovsk,59.158,57.5624,-2.89,52,1,4.25,RU,1728578004
54,aktau,43.65,51.2,13.32,63,57,5.47,KZ,1728578005
55,kodinsk,58.6881,99.1844,-2.67,87,100,3.14,RU,1728578007
56,mantua,45.1667,10.7833,21.66,83,3,2.24,IT,1728578008
57,hami,42.8,93.45,15.21,32,0,1.0,CN,1728578009
58,nuuk,64.1835,-51.7216,-0.66,93,75,4.12,GL,1728578010
59,san patricio,28.017,-97.5169,29.97,33,2,1.41,US,1728578011
60,fort mcmurray,56.7268,-111.381,5.77,75,100,3.09,CA,1728577859
61,uturoa,-16.7333,-151.4333,25.47,77,100,6.36,PF,1728578013
62,kapuskasing,49.4169,-82.4331,11.0,71,20,4.63,CA,1728578015
63,kone,-21.0595,164.8658,17.53,94,7,1.3,NC,1728578016
64,sabinanigo,42.5192,-0.3661,12.77,73,3,2.54,ES,1728578018
65,samalut,28.3121,30.7101,29.45,31,0,4.84,EG,1728578019
66,yellowknife,62.456,-114.3525,2.45,100,75,1.54,CA,1728578020
67,cabo san lucas,22.8909,-109.9124,30.84,76,40,5.14,MX,1728577780
68,broome,42.2506,-75.833,9.79,70,100,4.63,US,1728578022
69,ilulissat,69.2167,-51.1,1.01,47,20,7.2,GL,1728578023
70,west island,-12.1568,96.8225,26.99,78,75,7.2,CC,1728578024
71,revda,56.801,59.9303,-4.04,94,100,6.0,RU,1728578025
72,miri,4.4148,114.0089,28.08,89,40,0.0,MY,1728578026
73,lubango,-14.9172,13.4925,27.92,30,20,4.12,AO,1728578027
74,copala,16.65,-98.9833,27.43,77,100,1.52,MX,1728578028
75,albany,42.6001,-73.9662,10.88,64,40,1.79,US,1728577770
76,zhezqazghan,47.7833,67.7667,14.3,46,89,3.23,KZ,1728578031
77,dalandzadgad,43.5708,104.425,11.2,34,0,2.15,MN,1728578032
78,blackmans bay,-43.0167,147.3167,10.41,60,78,2.24,AU,1728578033
79,ancud,-41.8697,-73.8203,9.1,95,100,3.29,CL,1728578034
80,keflavik,64.0049,-22.5624,2.24,69,75,8.23,IS,1728578035
81,wucheng,29.6008,118.175,15.44,85,85,0.7,CN,1728578036
82,sao jose da coroa grande,-8.8978,-35.1478,27.42,65,77,5.53,BR,1728578037
83,hermanus,-34.4187,19.2345,17.11,76,98,6.95,ZA,1728578038
84,mombetsu,44.3525,143.3525,7.83,78,100,2.99,JP,1728578039
85,mount isa,-20.7333,139.5,21.87,10,0,4.63,AU,1728578041
86,susuman,62.7833,148.1667,-14.92,95,49,1.04,RU,1728578042
87,invercargill,-46.4,168.35,5.57,91,32,0.45,NZ,1728578043
88,puerto ayora,-0.7393,-90.3518,21.97,90,82,4.02,EC,1728578044
89,waitangi,-43.9535,-176.5597,6.01,86,73,5.41,NZ,1728578045
90,olonkinbyen,70.9221,-8.7187,-2.93,85,100,17.28,SJ,1728578046
91,nyurba,63.2842,118.3319,-5.14,98,99,0.98,RU,1728578047
92,lihue,21.9789,-159.3672,25.77,73,20,6.69,US,1728578051
93,carolina beach,34.0352,-77.8936,20.61,65,100,11.78,US,1728578052
94,port alfred,-33.5906,26.891,17.88,91,70,2.68,ZA,1728578053
95,avarua,-21.2078,-159.775,22.03,78,75,6.17,CK,1728578054
96,ola,59.5833,151.2833,-2.69,69,22,2.1,RU,1728577993
97,gurmatkal,16.8667,77.4,23.54,86,100,3.47,IN,1728578056
98,isafjordur,66.0755,-23.124,2.02,80,100,6.17,IS,1728578057
99,hoemul-li,41.4339,129.67,11.86,81,0,2.1,KP,1728578058
100,enewetak,11.3474,162.3373,28.4,77,96,4.01,MH,1728578059
101,port mathurin,-19.6833,63.4167,22.54,83,99,10.64,MU,1728578061
102,uglich,57.5275,38.3317,6.51,85,100,4.87,RU,1728577995
103,oskaloosa,41.2964,-92.6444,22.99,35,0,1.54,US,1728578064
104,brookings,44.3114,-96.7984,23.58,59,4,5.42,US,1728577613
105,copiapo,-27.3667,-70.3333,21.19,35,0,5.47,CL,1728577918
106,blackpool,53.8167,-3.05,10.57,57,20,4.63,GB,1728578067
107,kavaratti,10.5669,72.642,26.14,89,100,6.93,IN,1728578068
108,tidjikja,18.5564,-11.4271,37.84,20,77,5.94,MR,1728578071
109,soto la marina,23.7667,-98.2167,31.2,39,7,2.7,MX,1728578072
110,polyarnyy,69.1989,33.4478,3.36,76,100,10.07,RU,1728578073
